model,resolution,protocol,size,row_type,condition,baseline_condition,baseline_map50_95,complete,expected_conditions,map50_95,map50_95_drop,map50_95_drop_percentage_points,map50_95_relative_drop,map50_95_retention,n_conditions,observed_partial_map50_95,worst_condition
leaf_yolo_n_external,640,common6,tiny,condition,S3T2,S1T1,0.08985642019740846,True,1,0.04628207587708339,0.043574344320325066,4.357434432032506,0.48493301006867606,0.5150669899313239,1,,
leaf_yolo_n_external,640,common6,tiny,condition,S3T3,S1T1,0.08985642019740846,True,1,0.0018983782376168633,0.0879580419597916,8.795804195979159,0.9788732042357546,0.021126795764245393,1,,
leaf_yolo_n_external,640,common6,tiny,matrix9_mean_including_S1T1,aggregate,S1T1,0.08985642019740846,True,9,0.04188907477580108,0.047967345421607376,4.7967345421607375,0.5338221277480939,0.46617787225190616,9,,
leaf_yolo_n_external,640,common6,tiny,corrupted8_mean_excluding_S1T1,aggregate,S1T1,0.08985642019740846,True,8,0.035893156598100155,0.0539632635993083,5.39632635993083,0.6005498937166056,0.3994501062833944,8,,
leaf_yolo_n_external,640,common6,tiny,corrupted8_worst_excluding_S1T1,aggregate,S1T1,0.08985642019740846,True,8,0.0018983782376168633,0.0879580419597916,8.795804195979159,0.9788732042357546,0.021126795764245393,8,,S3T3
leaf_yolo_n_external,640,native10,all,condition,CLEAN,S1T1,0.22784249091230457,True,1,0.2273403514618908,0.0005021394504137744,0.05021394504137744,0.0022038885214217263,0.9977961114785783,1,,
leaf_yolo_n_external,640,native10,all,condition,S1T1,S1T1,0.22784249091230457,True,1,0.22784249091230457,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,native10,all,condition,S1T2,S1T1,0.22784249091230457,True,1,0.19577255067476804,0.03206994023753654,3.2069940237536536,0.14075487021373945,0.8592451297862606,1,,
leaf_yolo_n_external,640,native10,all,condition,S1T3,S1T1,0.22784249091230457,True,1,0.06281889973789363,0.16502359117441096,16.502359117441095,0.7242880400123772,0.2757119599876228,1,,
leaf_yolo_n_external,640,native10,all,condition,S2T1,S1T1,0.22784249091230457,True,1,0.17345578286666752,0.054386708045637056,5.4386708045637056,0.23870309628316966,0.7612969037168303,1,,
leaf_yolo_n_external,640,native10,all,condition,S2T2,S1T1,0.22784249091230457,True,1,0.1430743906553309,0.08476810025697368,8.476810025697368,0.37204693434290315,0.6279530656570969,1,,
leaf_yolo_n_external,640,native10,all,condition,S2T3,S1T1,0.22784249091230457,True,1,0.044208933310750785,0.18363355760155378,18.36335576015538,0.8059671260890201,0.19403287391097992,1,,
leaf_yolo_n_external,640,native10,all,condition,S3T1,S1T1,0.22784249091230457,True,1,0.19400449918540547,0.03383799172689911,3.383799172689911,0.14851484282588523,0.8514851571741148,1,,
leaf_yolo_n_external,640,native10,all,condition,S3T2,S1T1,0.22784249091230457,True,1,0.16643162947881665,0.06141086143348792,6.141086143348792,0.2695320841498553,0.7304679158501447,1,,
leaf_yolo_n_external,640,native10,all,condition,S3T3,S1T1,0.22784249091230457,True,1,0.045746034737000923,0.18209645617530365,18.209645617530366,0.799220792601814,0.20077920739818605,1,,
