model,state,backend,resolution,condition,protocol,size,category_id,class_name,map50,map50_95,ar50,ar50_95,area_reference,category_name,checkpoint_sha256,evaluated_categories,gt_count,image_count,max_det
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,3,,0.26756700045873466,0.12459556564312094,0.8441558441558441,0.4554112554112554,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,231,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,4,,0.9296458920613453,0.7101048117032964,0.9869783495450267,0.785566363351114,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,6374,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,5,,0.6463536041024592,0.47279532761699494,0.9751082251082251,0.7542207792207792,original_image_pixels,van,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,924,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,6,,0.4229260878161707,0.2831767361469835,0.8128342245989305,0.5435828877005346,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,374,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,7,,0.3577223709493471,0.21110016832448864,0.8716707021791767,0.5493946731234868,original_image_pixels,tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,413,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,8,,0.16469161505916258,0.10700494315140373,0.7909090909090909,0.5050000000000001,original_image_pixels,awning-tricycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,220,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,9,,0.7227801422875518,0.512044329705005,0.8543689320388349,0.6514563106796116,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,103,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,medium,10,,0.5979933832015519,0.29547274854175254,0.9311875693673696,0.5219755826859045,original_image_pixels,motor,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,901,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,1,,0.5790512333610761,0.26414896723766357,0.782608695652174,0.3913043478260869,original_image_pixels,pedestrian,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,23,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,large,2,,0.0027357998957790513,0.0010422094841063053,0.2,0.1,original_image_pixels,people,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,5,548,3000
